season,gsis_id,prop_mvp,prop_pass_yds,prop_pass_td,prop_rush_yds,prop_rush_td,prop_rec_yds,prop_rec_td,prop_oroy,prop_comeback,prop_n_markets,has_prop,prop_market_seasons
2012,00-0026189,0.0,0.0,0.0,0.0,0.0,0.016933109490235583,0.0,0.0,0.0,1,true,5
2012,00-0026195,0.02696830372233923,0.0,0.0,0.1091666794569868,0.0,0.0,0.0,0.0,0.0,2,true,5
2012,00-0026213,0.012162176188505928,0.0,0.0,0.04495098565875927,0.0,0.0,0.0,0.0,0.0,2,true,5
2012,00-0026498,0.04135139904092015,0.10055139589155469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,true,5
2012,00-0026796,0.04135139904092015,0.0,0.0,0.15283335123978153,0.0,0.0,0.0,0.0,0.0,2,true,5
2012,00-0026898,0.009257775904683616,0.0069689086261473555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,true,5
2012,00-0026899,0.0,0.0,0.0,0.022475492829379634,0.0,0.0,0.0,0.0,0.0,1,true,5
2012,00-0026901,0.0,0.0,0.0,0.0,0.0,0.0408386758293917,0.0,0.0,0.0,1,true,5
2012,00-0026983,0.0,0.0,0.0,0.0,0.0,0.016933109490235583,0.0,0.0,0.0,1,true,5
2012,00-0026993,0.0,0.008689626805442998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,true,5
2012,00-0026995,0.0,0.0,0.0,0.0,0.0,0.013612891943130565,0.0,0.0,0.0,1,true,5
2012,00-0027005,0.0,0.0,0.0,0.0,0.0,0.0408386758293917,0.0,0.0,0.0,1,true,5
2012,00-0027006,0.0,0.0,0.0,0.0,0.0,0.013612891943130565,0.0,0.0,0.0,1,true,5
2012,00-0027029,0.02696830372233923,0.0,0.0,0.0694697051089916,0.0,0.0,0.0,0.0,0.0,2,true,5
2012,00-0027265,0.015128560624726886,0.0,0.0,0.0,0.0,0.04628383260664392,0.0,0.0,0.0,2,true,5
2012,00-0027696,0.01824326428275889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,true,5
2012,00-0027793,0.0,0.0,0.0,0.0,0.0,0.016933109490235583,0.0,0.0,0.0,1,true,5
2012,00-0027854,0.0,0.008689626805442998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,true,5
2012,00-0027864,0.0,0.0,0.0,0.04495098565875927,0.0,0.0,0.0,0.0,0.0,1,true,5
2012,00-0027874,0.0,0.0,0.0,0.0,0.0,0.023939913417229616,0.0,0.0,0.0,1,true,5
2012,00-0027876,0.009257775904683616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,true,5
2012,00-0027902,0.0,0.0,0.0,0.0,0.0,0.02670221111921765,0.0,0.0,0.0,1,true,5
2012,00-0027939,0.02385657636976163,0.020701757977673024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,true,5
2012,00-0027942,0.0,0.0,0.0,0.0,0.0,0.0408386758293917,0.0,0.0,0.0,1,true,5
